budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,8/22/1986,89,8.1,Wil Wheaton,299174,1986
6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,6/11/1986,103,7.8,Matthew Broderick,264740,1986
15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,5/16/1986,110,6.9,Tom Cruise,236909,1986
18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,7/18/1986,137,8.4,Sigourney Weaver,540152,1986
9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,8/1/1986,90,6.9,Joey Cramer,36636,1986
6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,2/6/1987,120,8.1,Charlie Sheen,317585,1986
25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,6/27/1986,101,7.4,David Bowie,102879,1986
6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,10/23/1986,120,7.8,Isabella Rossellini,146768,1986
9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,2/28/1986,96,6.8,Molly Ringwald,60565,1986
15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,8/15/1986,96,7.5,Jeff Goldblum,129698,1986
8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,9/26/1986,97,6.5,Paul Hogan,79465,1986
16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,3/7/1986,116,7.2,Christopher Lambert,104860,1986
6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,3/28/1986,100,6.8,Corey Haim,12228,1986
25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,7/2/1986,99,7.3,Kurt Russell,101678,1986
15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,8/15/1986,120,7.2,William Petersen,54000,1986
17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9Ð Weeks,2/21/1986,117,5.9,Mickey Rourke,31798,1986
